# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "00ref/UCSC_hg19_chr19_gene_annotation.gtf" "-o" "08feature_count/out_counts.txt" "04align_out/adrenalAligned.sortedByCoord.out.bam" "04align_out/brainAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	04align_out/adrenalAligned.sortedByCoord.out.bam	04align_out/brainAligned.sortedByCoord.out.bam
RDH8	chr19;chr19;chr19;chr19;chr19;chr19	10123925;10127733;10129407;10131385;10131931;10132210	10124276;10127891;10129586;10131478;10132114;10132954	+;+;+;+;+;+	1714	0	0
C3P1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10152032;10152406;10153160;10153387;10153824;10154323;10155734;10157028;10157406;10157801;10157995;10160672;10162978;10163205;10165923;10166269;10169244;10169486;10172485;10172861;10176255;10178500;10179642;10180967;10181311;10181658;10183600;10183766;10183976;10184593	10152155;10152521;10153300;10153596;10154033;10154484;10155811;10157225;10157517;10157886;10158134;10160740;10163029;10163291;10165998;10166437;10169333;10169784;10172657;10173019;10176314;10178590;10179687;10181054;10181397;10181763;10183686;10183855;10184111;10184813	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3763	0	0
C19orf66	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10196806;10197605;10197927;10200333;10200574;10201926;10202152;10202746	10197124;10197728;10197976;10200371;10200723;10202029;10202306;10203928	+;+;+;+;+;+;+;+	2124	0	0
ANGPTL6	chr19;chr19;chr19;chr19;chr19;chr19	10203013;10204025;10204369;10205434;10206658;10213244	10203455;10204295;10204556;10205614;10207249;10213425	-;-;-;-;-;-	1857	0	0
PPAN-P2RY11	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10216899;10216899;10217177;10217177;10218181;10218181;10218480;10218480;10218640;10218640;10220307;10220307;10220589;10220589;10220799;10220799;10221000;10221000;10221161;10221161;10221373;10221373;10221621;10221621;10224309;10224309	10217088;10217088;10217347;10217347;10218282;10218282;10218530;10218530;10218810;10218810;10220383;10220383;10220696;10220696;10220922;10220922;10221078;10221078;10221290;10221290;10221542;10221542;10221760;10221698;10226064;10226064	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3269	0	0
PPAN	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10216899;10217177;10218181;10218480;10218640;10220307;10220589;10220799;10221000;10221161;10221373;10221621	10217088;10217347;10218282;10218530;10218810;10220383;10220696;10220922;10221078;10221290;10221542;10221975	+;+;+;+;+;+;+;+;+;+;+;+	1728	0	0
SNORD105	chr19	10218327	10218411	+	85	0	0
SNORD105B	chr19	10220425	10220516	+	92	0	0
P2RY11	chr19;chr19	10222197;10224309	10222416;10226064	+;+	1976	0	0
EIF3G	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10225690;10226155;10226360;10226643;10227476;10227760;10229344;10229544;10229764;10230330;10230516	10225805;10226261;10226496;10226750;10227665;10227864;10229403;10229632;10229847;10230376;10230599	-;-;-;-;-;-;-;-;-;-;-	1127	0	0
DNMT1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10244022;10244022;10244893;10244893;10246412;10246412;10246797;10246797;10247761;10247761;10248508;10248508;10249115;10249115;10250352;10250352;10250722;10250722;10251457;10251457;10251781;10251781;10252704;10252704;10254442;10254442;10257027;10257027;10259560;10259560;10260129;10260129;10260529;10260529;10262074;10262074;10262426;10262426;10264969;10264969;10265262;10265262;10265581;10265581;10266529;10266529;10267067;10267067;10270334;10270334;10270518;10270518;10270694;10270694;10271060;10271060;10273343;10273343;10274002;10274002;10277274;10277274;10279006;10279006;10283766;10283766;10284547;10284547;10286216;10286216;10287968;10287968;10290863;10291026;10291026;10291454;10291454;10292717;10292717;10305496;10305496	10244377;10244377;10244983;10244983;10246528;10246528;10246963;10246963;10247956;10247956;10248685;10248685;10249281;10249281;10250493;10250493;10251004;10251004;10251585;10251585;10251865;10251865;10252896;10252896;10254663;10254663;10257200;10257200;10259693;10259693;10260333;10260333;10260644;10260644;10262221;10262221;10262523;10262523;10265155;10265155;10265449;10265449;10265732;10265732;10266621;10266621;10267185;10267185;10270443;10270443;10270598;10270598;10270739;10270739;10271094;10271094;10273424;10273424;10274036;10274036;10277361;10277361;10279040;10279040;10283850;10283850;10284581;10284581;10286294;10286294;10288043;10288043;10290910;10291245;10291245;10291561;10291561;10292753;10292753;10305755;10305755	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5400	0	0
S1PR2	chr19;chr19	10332109;10341880	10335623;10341948	-;-	3584	0	0
MIR4322	chr19	10341089	10341161	+	73	0	0
MRPL4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10362640;10362640;10362640;10362822;10363073;10363073;10363073;10363227;10363227;10363227;10365265;10365265;10365265;10367384;10367384;10367384;10368898;10368898;10368898;10369089;10369089;10369089;10369285;10369285;10369285;10370293;10370293	10362986;10362986;10362685;10362986;10363139;10363139;10363139;10363377;10363377;10363377;10365316;10365316;10365316;10367501;10367501;10367501;10369004;10369004;10369004;10369198;10369198;10369198;10369361;10370736;10369361;10370721;10370721	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2404	0	0
ICAM1	chr19;chr19;chr19;chr19;chr19;chr19;chr19	10381517;10385441;10394157;10394709;10395079;10395459;10395791	10381902;10385704;10394462;10394996;10395333;10395704;10397291	+;+;+;+;+;+;+	3246	0	0
ICAM4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10397643;10397643;10397643;10398212;10398212;10398289;10398662;10398662	10398082;10398082;10398082;10398514;10399260;10398514;10399260;10399260	+;+;+;+;+;+;+;+	1489	0	0
ICAM5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10400655;10401748;10402165;10402711;10403288;10403674;10404374;10404716;10405077;10406022;10407015	10400801;10402017;10402485;10402998;10403542;10403922;10404619;10404994;10405316;10406288;10407454	+;+;+;+;+;+;+;+;+;+;+	3002	0	0
ZGLP1	chr19;chr19;chr19;chr19	10415479;10416066;10416522;10418861	10415884;10416159;10416628;10420233	-;-;-;-	1980	0	0
FDX1L	chr19;chr19;chr19;chr19;chr19	10420891;10421529;10426062;10426381;10426528	10421318;10421616;10426168;10426435;10426691	-;-;-;-;-	842	0	0
RAVER1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10426889;10428366;10428905;10429842;10431331;10431724;10432207;10433321;10433821;10434051;10439318;10441136;10443965	10428276;10428449;10429048;10429916;10431627;10431935;10432294;10433415;10433950;10434242;10439787;10441202;10444314	-;-;-;-;-;-;-;-;-;-;-;-;-	3592	0	0
ICAM3	chr19;chr19;chr19;chr19;chr19;chr19;chr19	10444452;10444836;10445204;10445742;10446347;10449358;10450215	10444735;10445084;10445458;10446029;10446652;10449624;10450345	-;-;-;-;-;-;-	1780	0	0
TYK2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10461204;10461728;10463110;10463602;10464204;10464718;10465188;10467244;10468440;10468679;10469851;10472187;10472446;10472754;10472940;10473225;10475290;10475527;10476193;10477093;10478731;10478971;10488890;10490291;10491056	10461644;10461838;10463227;10463774;10464322;10464910;10465285;10467394;10468594;10468814;10469978;10472274;10472631;10472857;10473132;10473333;10475447;10475724;10476574;10477256;10478878;10479094;10489102;10490455;10491248	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4248	0	0
CDC37	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10501809;10503762;10503935;10505697;10505904;10506111;10506604;10514054	10502382;10503833;10504117;10505819;10506019;10506219;10506879;10514271	-;-;-;-;-;-;-;-	1671	0	0
MIR1181	chr19	10514134	10514214	-	81	0	0
PDE4A	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10527449;10527560;10528336;10531333;10541521;10543111;10556894;10556894;10556894;10556894;10559593;10559593;10559593;10559593;10559756;10559756;10559756;10559756;10561279;10561279;10561279;10561279;10561505;10561505;10561505;10561505;10563633;10565505;10565505;10565505;10565505;10565505;10568555;10568555;10568555;10568555;10568555;10570076;10570076;10570076;10570076;10570076;10570271;10570271;10570271;10570271;10570271;10571680;10571680;10571680;10571680;10571680;10572202;10572202;10572202;10572202;10572202;10572553;10572553;10572553;10572553;10572553;10574469;10574469;10574469;10574469;10574469;10577563;10577563;10577563;10577563;10577563	10527473;10527666;10528541;10531760;10541762;10543247;10557085;10557085;10557085;10557085;10559629;10559629;10559629;10559629;10559826;10559826;10559826;10559826;10561328;10561328;10561328;10561328;10561617;10561617;10561617;10561617;10564005;10565598;10565598;10565598;10565598;10565598;10568778;10568778;10568778;10568778;10568778;10570174;10570174;10570174;10570174;10570174;10570435;10570435;10570435;10570435;10570435;10571779;10571779;10571779;10571779;10571779;10572356;10572356;10572356;10572356;10572356;10572675;10572675;10572675;10572675;10572675;10574651;10574651;10574651;10574651;10574651;10580307;10580307;10580307;10580307;10580307	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5869	0	0
KEAP1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10596796;10596796;10599868;10599868;10600324;10600324;10602253;10602253;10610071;10610071;10613373;10613917	10597494;10597494;10600044;10600044;10600529;10600529;10602938;10602938;10610756;10610756;10613481;10614054	-;-;-;-;-;-;-;-;-;-;-;-	2701	0	0
S1PR5	chr19;chr19;chr19;chr19	10623418;10623418;10628074;10628500	10625705;10625705;10628126;10628668	-;-;-;-	2510	0	0
ATG4D	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10654647;10655459;10655633;10657515;10657865;10659580;10662573;10662721;10662881;10663561	10655001;10655542;10655806;10657791;10657929;10659710;10662651;10662797;10663000;10664094	+;+;+;+;+;+;+;+;+;+	1896	0	0
MIR1238	chr19	10662798	10662880	+	83	0	0
KRI1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10663761;10665763;10665961;10668228;10668445;10668648;10668840;10670035;10670289;10670486;10670988;10671679;10671845;10672343;10672467;10673405;10675605;10676393;10676582	10664957;10665861;10666025;10668358;10668571;10668736;10668915;10670205;10670384;10670612;10671124;10671756;10671941;10672392;10672521;10673513;10675710;10676466;10676702	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3005	0	0
CDKN2D	chr19;chr19;chr19;chr19;chr19	10677138;10677138;10679189;10679189;10679623	10678093;10678093;10679631;10679344;10679655	-;-;-;-;-	1423	0	0
AP1M2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10683347;10685093;10685580;10687874;10689568;10690392;10691942;10692163;10692424;10694282;10694590;10697866	10683764;10685168;10685705;10688032;10689639;10690534;10692068;10692310;10692554;10694349;10694746;10697991	-;-;-;-;-;-;-;-;-;-;-;-	1751	0	0
SLC44A2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10713121;10736171;10736929;10736929;10738398;10738398;10738596;10738596;10741733;10741733;10741951;10741951;10742151;10742151;10742302;10742302;10742544;10742544;10742720;10742720;10745432;10745432;10745650;10745650;10745839;10745839;10746107;10746107;10746999;10746999;10747338;10747338;10748320;10748320;10748532;10748532;10748699;10748699;10748903;10748903;10753043;10753043;10753955;10753955	10713237;10736346;10736977;10736977;10738471;10738471;10738680;10738680;10741817;10741817;10742061;10742061;10742211;10742211;10742425;10742425;10742627;10742627;10742832;10742832;10745563;10745563;10745749;10745749;10745931;10745931;10746191;10746191;10747261;10747261;10747432;10747432;10748423;10748423;10748605;10748605;10748769;10748769;10748991;10748991;10753127;10753127;10755235;10755235	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3551	0	0
LOC147727	chr19	10762538	10764548	-	2011	0	0
ILF3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10764937;10764937;10764937;10764937;10764937;10781192;10781192;10781192;10781192;10781192;10781650;10781650;10781650;10781650;10781650;10782034;10782034;10782034;10782034;10782034;10787839;10787839;10787839;10787839;10787839;10789289;10789289;10789289;10789289;10789289;10789773;10789773;10789773;10789773;10789773;10790492;10790492;10790492;10790492;10790492;10791022;10791022;10791022;10791022;10791022;10791695;10791695;10791695;10791695;10791695;10791895;10791895;10791895;10791895;10791895;10792669;10792669;10792669;10792669;10792669;10793213;10793213;10793213;10793213;10793213;10793801;10793801;10793813;10793813;10793813;10794042;10794042;10794042;10794042;10794042;10794312;10794312;10794312;10794312;10794312;10794593;10794593;10794593;10794593;10794593;10795092;10795092;10795535;10798022;10798022;10799226;10799226;10799855;10799855	10765163;10765163;10765163;10765163;10765163;10781284;10781284;10781284;10781284;10781284;10781879;10781879;10781879;10781879;10781879;10782211;10782211;10782211;10782211;10782211;10787986;10787986;10787986;10787986;10787986;10789380;10789380;10789380;10789380;10789380;10789868;10789868;10789868;10789868;10789868;10790603;10790603;10790603;10790603;10790603;10791119;10791119;10791119;10791119;10791119;10791806;10791806;10791806;10791806;10791806;10792005;10792005;10792005;10792005;10792005;10792868;10792868;10792868;10792868;10792868;10793380;10793380;10793380;10793380;10793380;10793938;10793938;10793938;10793938;10793938;10794218;10794218;10794218;10794218;10794218;10794465;10794465;10794465;10794465;10794465;10794646;10794646;10794646;10794646;10794646;10796443;10796443;10796443;10798384;10798384;10799354;10799354;10803095;10803095	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7473	0	0
QTRT1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10812112;10812626;10812792;10817978;10818176;10822837;10823229;10823434;10823629;10823794	10812379;10812694;10812930;10818056;10818291;10822975;10823304;10823543;10823716;10824043	+;+;+;+;+;+;+;+;+;+	1334	0	0
DNM2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10828729;10828729;10828729;10828729;10828729;10870414;10870414;10870414;10870414;10870414;10883155;10883155;10883155;10883155;10883155;10886379;10886379;10886379;10886379;10886379;10887794;10887794;10887794;10887794;10887794;10893636;10893636;10893636;10893636;10893636;10897240;10897240;10897240;10897240;10897240;10904396;10904396;10904396;10904396;10904396;10906048;10906048;10906048;10906048;10906048;10906737;10906737;10906737;10908056;10908056;10909162;10909162;10909162;10909162;10909162;10912964;10912964;10912964;10912964;10912964;10916592;10916592;10916592;10916592;10916592;10919245;10919245;10919245;10922940;10922940;10922940;10922940;10922940;10930656;10930656;10930656;10930656;10930656;10934464;10934464;10934464;10934464;10934464;10935733;10935733;10935733;10935733;10935733;10939712;10939712;10939712;10939712;10939712;10940803;10940803;10940803;10940803;10940803;10941654;10941654;10941654;10941654;10941657	10829079;10829079;10829079;10829079;10829079;10870487;10870487;10870487;10870487;10870487;10883304;10883304;10883304;10883304;10883304;10886582;10886582;10886582;10886582;10886582;10887892;10887892;10887892;10887892;10887892;10893796;10893796;10893796;10893796;10893796;10897382;10897382;10897382;10897382;10897382;10904531;10904531;10904531;10904531;10904531;10906115;10906115;10906115;10906115;10906115;10906875;10906875;10906875;10908194;10908194;10909248;10909248;10909248;10909248;10909248;10913034;10913034;10913034;10913034;10913034;10916643;10916643;10916643;10916643;10916643;10919256;10919256;10919256;10923053;10923053;10923053;10923053;10923053;10930765;10930765;10930765;10930765;10930765;10934575;10934575;10934575;10934575;10934575;10935897;10935897;10935897;10935897;10935897;10939944;10939944;10939944;10939944;10939944;10941054;10941054;10941054;10941054;10941054;10942586;10942586;10942586;10942586;10942586	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3805	0	0
MIR638	chr19	10829080	10829179	+	100	0	0
MIR4748	chr19	10890930	10891011	+	82	0	0
MIR199A1	chr19	10928102	10928172	-	71	0	0
TMED1	chr19;chr19;chr19;chr19	10943114;10945610;10945932;10946685	10943889;10945793;10946029;10946983	-;-;-;-	1357	0	0
C19orf38	chr19;chr19;chr19;chr19;chr19;chr19;chr19	10959106;10960935;10966941;10968992;10970591;10973846;10979894	10959215;10961243;10967033;10969019;10970634;10973883;10980360	+;+;+;+;+;+;+	1089	0	0
CARM1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	10982253;11015627;11018715;11019779;11022860;11024553;11027083;11027372;11030271;11030553;11031112;11031335;11031510;11031726;11032051;11032291	10982598;11015752;11018821;11019883;11022970;11024730;11027173;11027453;11030356;11030642;11031249;11031424;11031622;11031803;11032119;11033448	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2968	0	0
YIPF2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	11033444;11033948;11034171;11034509;11034752;11036362;11038306;11038475;11039056;11039261	11033850;11034083;11034353;11034675;11034868;11036449;11038392;11038635;11039116;11039357	-;-;-;-;-;-;-;-;-;-	1504	0	0
C19orf52	chr19;chr19	11039424;11039690	11039592;11040916	+;+	1396	0	0
